Specimen_ID,Lmin,L05,Lmean,L95,Lmax,Wmin,W05,Wmean,W95,Wmax,Qmin,Q05,Qmean,Q95,Qmax,Spore_count
1,ARAN_3033195,17.09,17.561,20.4517857142857,24.0295,25.1,1.58,1.804,2.08071428571429,2.349,2.4,8.06,8.221,9.87035714285714,11.4365,11.99,28
2,ARAN_4160,15.6,15.736,16.7523529411765,18.038,18.43,1.94,1.948,2.10470588235294,2.222,2.31,7.32,7.336,7.97117647058823,8.64,9.2,17
3,Buyck_001899,13.02,14.4875,17.5744444444444,19.9925,20.7,1.83,2.04,2.25916666666667,2.48,2.56,5.97,6.185,7.80833333333333,9.21,9.6,36
4,CWU_6737,12.69,13.026,14.1254545454545,15.314,15.69,1.79,2.058,2.45757575757576,2.864,3.12,4.51,4.874,5.82060606060606,6.936,7.9,33
5,Hjm_16340,13.02,14.873,16.5746808510638,18.334,18.96,1.41,1.55,1.70659574468085,1.936,2.13,7.59,8.404,9.75425531914894,11.017,12.13,47
6,Hjm_16465,13.96,15.144,17.0253333333333,18.78,19.83,1.48,1.642,1.98977777777778,2.238,2.55,6.64,7.232,8.63555555555556,10.238,10.94,45
7,KAS_GEL_3388,13.86,15.542,19.146,22.58,25.92,2.06,2.072,2.3536,2.64,2.67,6.6,6.692,8.1512,9.986,10.4,25
8,KAS_GEL_3392,15.51,17.24,21.9925806451613,25.07,25.47,2,2.135,2.59290322580645,2.88,2.91,6.4,6.715,8.51903225806452,9.765,10.94,31
9,KAS_GEL_3550,11.92,12.8275,14.1636111111111,15.775,16.81,2.27,2.27,2.62972222222222,2.9875,3.03,4.41,4.6775,5.41055555555556,6.2575,6.43,36
10,KAS_GEL_3681,15.38,15.828,18.848275862069,22.65,25.6,1.44,1.474,1.92034482758621,2.214,2.38,7.63,8.32,9.91724137931035,12.166,12.95,29
11,KAS_GEL_4815,15.59,16.144,18.278,20.542,21.37,1.64,1.7165,2.15133333333333,2.5285,2.57,6.26,6.745,8.618,11.032,11.34,30
12,KAS_GEL_5217a,14.53,17.681,20.6624193548387,23.2625,23.89,1.08,1.4705,1.90096774193548,2.27,2.38,7.02,8.54,11.0493548387097,13.5565,17.94,62
13,KAS_L_0103,17.37,17.844,19.5293333333333,20.842,21.17,1.75,1.784,2.11044444444444,2.388,2.48,7.69,8.098,9.29888888888889,10.534,11.05,45
14,KAS_L_1726b,17.96,18.575,21.8564516129032,24.18,24.56,1.64,1.64,1.87,2.145,2.17,9.67,9.885,11.7483870967742,13.845,14.46,31
15,KHL_10517,18.29,19.335,22.112,24.875,25.81,1.81,1.882,2.13257142857143,2.299,2.38,8.35,8.823,10.392,11.473,12.02,35
16,KHL_10671,11.88,14.2355,16.77075,20.191,21.46,1.62,1.64,1.97875,2.2715,2.51,6.25,6.958,8.56175,10.601,11.35,40
17,KHL_11200,14.16,15.082,17.468,20.578,21.07,1.54,1.662,2.0328,2.484,2.55,5.55,6.966,8.7108,11.222,11.73,25
18,KHL_14229,9.97,10.388,11.79,12.772,13.23,2.2,2.32,2.59514285714286,2.88,2.95,3.83,4.033,4.55685714285714,5.059,5.17,35
19,KHL_14305,14.37,15.2825,18.5646875,23.4105,23.47,1.76,2.1105,2.521875,2.9115,3,5.15,5.6675,7.519375,10.9105,13.23,32
20,KHL_14355,18.33,19.012,21.3405882352941,23.0205,23.18,1.71,1.89,2.13235294117647,2.464,2.49,8.94,9.085,10.0467647058824,11.0175,11.64,34
21,KHL_16062,14.16,14.58,15.7561904761905,17.13,17.37,1.86,1.89,2.06285714285714,2.23,2.27,7.01,7.11,7.64571428571429,8.48,8.55,21
22,KHL_9926,14.74,15.5665,17.9672727272727,19.9695,21.02,1.44,1.4815,1.69545454545455,1.966,2.02,7.68,9.305,10.6645454545455,12.4815,13.31,22
23,KHL_9943,18.66,19.0735,20.672,21.8815,23.6,1.78,1.835,2.07133333333333,2.3065,2.32,9.08,9.223,10.0133333333333,11.182,12.06,30
24,LE_302156,15.37,17.425,19.471,21.3915,21.72,1.62,1.7415,1.939,2.1665,2.21,8.05,8.7595,10.075,11.171,12.36,30
25,LE_314099,15.1,15.409,17.727,22.5025,22.97,1.85,1.917,2.11166666666667,2.538,2.7,5.85,6.5295,8.45,10.844,11.26,30
26,LE_315315,14.9,16.3405,19.645,21.3675,21.76,1.59,1.617,1.84233333333333,2.041,2.09,8.92,9.524,10.688,12.2825,12.44,30
27,LR_24826,14.16,15.143,17.9551428571429,20.357,20.63,1.78,2.085,2.43714285714286,2.77,2.8,5.55,5.697,7.43457142857143,8.837,10.27,35
28,LY_11631,16.23,18.322,20.312619047619,21.77,21.99,1.44,1.543,1.91928571428571,2.2795,2.6,7.56,8.8505,10.7638095238095,12.878,14.24,42
29,LY_12824,15.78,16.803,21.0741176470588,23.9825,25.08,1.54,1.64,1.90323529411765,2.2035,2.25,7.34,9.114,11.1794117647059,13.4725,15.29,34
30,Ordynets_00146,12.85,13.2575,15.1515909090909,17.404,18.05,2.2,2.222,2.63840909090909,3.104,3.23,4.42,4.989,5.78477272727273,6.6685,7.05,44
31,Ordynets_00158,17.27,18.419,20.34475,22.7615,24.22,1.79,1.8895,2.1805,2.433,2.53,8.15,8.308,9.38525,10.933,13.26,40
32,TU_108264,12.68,13.5135,16.073125,19.2145,20.76,1.78,1.81,2.1446875,2.526,2.82,5.4,6.0205,7.551875,9.167,9.44,32
33,TU_124387,13,17,20.5666666666667,24.1,25,1.2,1.445,1.72333333333333,2.2,2.2,8.67,9.7525,12.133,15.1115,18.33,30
34,TU_124388,15,15.45,17.0333333333333,19,19,1.5,1.6,1.89333333333333,2.2,2.2,7.14,7.356,9.14466666666667,11.88,12,30
35,TU_124391,9.01,9.3545,10.6034375,11.7445,12.2,2.14,2.302,2.7153125,3.257,3.51,2.81,3.147,3.96125,4.8805,5.42,32
36,TU_132022,16.9,17,18.512,20.2,20.2,1.9,2,2.276,2.58,2.6,6.73,6.744,8.1776,9.054,9.21,25
